word	number_stories_observed	number_words_read	condition	number_observed	baseline_prob_3_word_265	baseline_prob_3_word_100	baseline_prob_3_word_30	baseline_prob_2_word_100	baseline_prob_1_word_100	baseline_prob_2_word_30	baseline_prob_1_word_30
sentenc	1	265	Chain	1	0.04483492492155335	0.05132258453654979	0.060564986850070335	0.05035331232158012	0.03260001715863627	0.05943209887336694	0.03860798978151765
within	1	265	Chain	1	0.04481810259636854	0.05130345874888627	0.06054263660981834	0.04890157540495971	0.030725020937888342	0.05773452469456443	0.03640044589583262
crush	1	265	Chain	1	0.04059326988868348	0.046497035826332446	0.05492074002389379	0.04766384910448977	0.032235462210443815	0.0562864622902428	0.03817890120363436
york	1	265	Chain	1	0.04010882966650437	0.04594551412327806	0.054274988533786005	0.04599304469060419	0.030345754591668488	0.054330645226725836	0.03595372136313668
forc	1	265	Chain	1	0.040018679330408716	0.04584287153556172	0.05415479409196081	0.04575076982439237	0.03009001665442878	0.0540469390224278	0.03565246015581192
kind	1	265	Chain	1	0.039646001609914217	0.0454185215943871	0.053657830662510425	0.04498912260262636	0.029356738320831677	0.05315487260755695	0.03478848992958949
ever	1	265	Chain	1	0.038460496143764664	0.04406832539665899	0.052076059559061	0.04308489109150973	0.027724427794310228	0.050923443263343936	0.032864385856192585
avail	1	265	Chain	1	0.038357863798192005	0.04395141250579604	0.05193905650193648	0.05432944760317415	0.04448418041661416	0.06407676540557986	0.052563325242199796
were	1	265	Chain	1	0.03790753260812945	0.04343837798361198	0.051337790764237196	0.041835571940012896	0.026500624060792725	0.049458579748950446	0.03142102786163435
factori	1	265	Chain	1	0.03768299675814509	0.04318255197140068	0.05103792419765188	0.04689733157908478	0.03361683095967569	0.05538934322431212	0.03980448538898098
never	1	265	Chain	1	0.03622513020910874	0.041521100728487664	0.04908974332764057	0.044483849296974666	0.03142290182240056	0.05256293729330731	0.03722228660818017
fact	1	265	Chain	1	0.03502524262925214	0.04015310269383135	0.0474847347573889	0.04240179085993905	0.02949524508662138	0.050122574350898744	0.03495170120039834
1215	1	265	Chain	1	0.03458071037864414	0.03964616272311496	0.04688975347308557	0.04118011112666875	0.028157664388326144	0.04868975420698784	0.03337518503265993
forgo	1	265	Chain	1	0.03436452306117595	0.03939960023091418	0.04660032847684045	0.040582737369358884	0.027508943980412554	0.04798889514362738	0.03261029242976315
british	1	265	Chain	1	0.0342886779908977	0.03931309479469576	0.046498778472593934	0.04020771282257748	0.027056173103518443	0.047548822293448666	0.03207632766060081
toll	1	265	Chain	1	0.03394380785742204	0.038919726500644646	0.046036955480716076	0.03987165393884319	0.026871970965130523	0.047154420385081275	0.0318590667773718
play	1	265	Chain	1	0.033490355720204285	0.038402443946834904	0.04542954919435441	0.038780378010485894	0.025748626714591178	0.045873340718392934	0.030533785546067876
700	1	265	Chain	1	0.032606219059139394	0.03739364659093961	0.0442446497040155	0.04239543898645916	0.03168142911773585	0.05011512641767856	0.037526678866050704
seem	1	265	Chain	1	0.031784188563450826	0.03645546927816516	0.043142289723388114	0.0362704736241102	0.0237005275273841	0.04292487302888918	0.028116049303176432
made	1	265	Chain	1	0.031681376291409914	0.036338113921141245	0.04300436926579566	0.04183233021780385	0.03173704177913847	0.04945477782875053	0.037592153771992695
none	1	265	Chain	1	0.03143795866417695	0.03606024958279054	0.042677788007364326	0.03992648055423576	0.0291055619357006	0.04721876886590331	0.03449249094277503
anoth	1	265	Chain	1	0.029094165529669643	0.03338372856516183	0.03953023226972448	0.03617104583538239	0.02576180823590212	0.04280801389624652	0.030549339925037097
market	1	265	Chain	1	0.02888178287563796	0.033141101650117646	0.03924474735096132	0.03587942148387354	0.02553067091625722	0.042465237430971754	0.030276583324491547
arriv	1	265	Chain	1	0.0288785161623148	0.03313736961966617	0.03924035588265087	0.035604215906241576	0.025139193217941273	0.042141724749979355	0.02981456010213111
light	1	265	Chain	1	0.028759922219647453	0.03300188041312942	0.03908092193802999	0.03520257955779608	0.024670876704430255	0.04166952793415346	0.029261760798707362
citi	1	265	Chain	1	0.02873230008402772	0.03297032244097924	0.039043785606532884	0.0352439301805433	0.024753375283365388	0.04171814647167676	0.029359149023643394
pneumonia	1	265	Chain	1	0.028654446118612828	0.032881373756437224	0.03893911146436074	0.03503062473393436	0.024518135159176786	0.04146734158085504	0.029081443806496198
resourc	1	265	Chain	1	0.028591243904813216	0.032809163250837825	0.038854132076319506	0.03474625431219484	0.024170937802208064	0.04113294668900616	0.02867152550184746
interest	1	265	Chain	1	0.0283764235254261	0.03256371388658353	0.03856526276506176	0.03453181727073787	0.024051816166790245	0.04088076341955248	0.028530872116132998
feel	1	265	Chain	1	0.02836683083052015	0.032552753096364975	0.038552362382965034	0.034514982954552166	0.02403627862456507	0.04086096497503456	0.028512525624615277
decid	1	265	Chain	1	0.028313519778917398	0.03249183832308922	0.03848066731398719	0.03451065729736641	0.02407563470150421	0.040855877650551015	0.028558996465346695
alreadi	1	265	Chain	1	0.028214932463309278	0.032379186962055204	0.038348075272221	0.03409037879809582	0.023569003783351247	0.04036155600043541	0.02796072382374832
