,condition,layer_n,k,story_merged
533,Multiple-pathway,4,2,0.018867924528301886
534,Multiple-pathway,4,2,0.14035087719298245
535,Multiple-pathway,4,2,0.0641025641025641
536,Multiple-pathway,4,2,0.07575757575757576
537,Multiple-pathway,4,2,0.043478260869565216
538,Multiple-pathway,4,2,0.043478260869565216
539,Multiple-pathway,4,2,0.05357142857142857
540,Multiple-pathway,4,2,0.038461538461538464
541,Multiple-pathway,4,2,0.09722222222222222
542,Multiple-pathway,4,2,0.047619047619047616
543,Multiple-pathway,4,2,0.07352941176470588
544,Multiple-pathway,4,2,0.06666666666666667
545,Multiple-pathway,4,2,0.08771929824561403
546,Multiple-pathway,4,2,0.05172413793103448
547,Multiple-pathway,4,2,0.04918032786885246
548,Multiple-pathway,4,2,0.03389830508474576
549,Multiple-pathway,4,2,0.046875
550,Multiple-pathway,4,2,0.02857142857142857
551,Multiple-pathway,4,2,0.05102040816326531
552,Multiple-pathway,4,2,0.043478260869565216
553,Multiple-pathway,4,2,0.0
554,Multiple-pathway,4,2,0.1282051282051282
555,Multiple-pathway,4,2,0.10810810810810811
556,Multiple-pathway,4,2,0.021739130434782608
557,Multiple-pathway,4,2,0.0375
558,Multiple-pathway,4,2,0.14634146341463414
559,Multiple-pathway,4,2,0.05454545454545454
560,Multiple-pathway,4,2,0.05555555555555555
561,Multiple-pathway,4,2,0.06666666666666667
562,Multiple-pathway,4,2,0.0625
563,Multiple-pathway,4,2,0.10810810810810811
564,Multiple-pathway,4,2,0.04
565,Multiple-pathway,4,2,0.09090909090909091
566,Multiple-pathway,4,2,0.06557377049180328
567,Multiple-pathway,4,2,0.04938271604938271
568,Multiple-pathway,4,2,0.056338028169014086
569,Multiple-pathway,4,2,0.034482758620689655
570,Multiple-pathway,4,2,0.08064516129032258
571,Multiple-pathway,4,2,0.0425531914893617
572,Multiple-pathway,4,2,0.05128205128205128
573,Multiple-pathway,4,2,0.05128205128205128
574,Multiple-pathway,4,2,0.09836065573770492
575,Multiple-pathway,4,2,0.043478260869565216
576,Multiple-pathway,4,2,0.08695652173913043
577,Multiple-pathway,4,2,0.057692307692307696
578,Multiple-pathway,4,2,0.12121212121212122
579,Multiple-pathway,4,2,0.02857142857142857
580,Multiple-pathway,4,2,0.02631578947368421
581,Multiple-pathway,4,2,0.16129032258064516
582,Multiple-pathway,4,2,0.024390243902439025
583,Multiple-pathway,4,2,0.04
584,Multiple-pathway,4,2,0.10810810810810811
585,Multiple-pathway,4,2,0.10526315789473684
586,Multiple-pathway,4,2,0.05970149253731343
587,Multiple-pathway,4,2,0.11320754716981132
588,Multiple-pathway,4,2,0.16129032258064516
589,Multiple-pathway,4,2,0.09090909090909091
590,Multiple-pathway,4,2,0.11904761904761904
591,Multiple-pathway,4,2,0.13559322033898305
592,Multiple-pathway,4,2,0.07142857142857142
593,Multiple-pathway,4,2,0.047619047619047616
594,Multiple-pathway,4,2,0.08163265306122448
595,Multiple-pathway,4,2,0.0684931506849315
596,Multiple-pathway,4,2,0.08771929824561403
597,Multiple-pathway,4,2,0.0851063829787234
598,Multiple-pathway,4,2,0.06329113924050633
